MPN,Value,Description,Manufacturer,UnitCost,Stock,Supplier,Date,PurchaseURL
,,500pcs/lot 9V Snap Battery Connector Wire Cable Adapter Holder Experimental Snap Power Cable Connectors Terminal T Style 15cm,Shop1102419144,32.7500,,aliexpress,"Nov 7, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8206916474099074
SPN1001-FV1,,SPN1001-FV1 FV-1 original audio chip spn1001-fv1 SPIN multimedia Audio Chips ICs,Auto-Ecu-part-Sale,15.0300,,aliexpress,"Jun 10, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8133579588559074
XH2.54,2P,2000pcs XH2.54 2p 3p 4pin 2.54mm Pitch Pin Header JST Wire Connectors Adaptor XH 2.54mm Spacing Connector,excellence electronic,18.9800,,aliexpress,"Dec 8, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159038562089074
MSS-22D18,,100PCS MSS-22D18 Mini Miniature DIP TOP Slide Switch 2P2T 6Pin Handle High 2MM For DVD Switches,XINGLIANDA,4.6100,,aliexpress,"Dec 17, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8207979575279074
3386P,3386P-1-202,50PCS 3386P knob 100R-1M Trimming Potentiometer Chinese High Quality 3386P-1-101 201 501 102 202 502 103 203 503 104 204 504 105,Jieecn,9.6300,,aliexpress,"Oct 13, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8205426032239074
,500K,Mosleader 100PCS 3x3 500R 5K 50K 500K 680R 68K 680K 300R 3K 30K 300K 3MM SMD Trimmer Potentiometer High quality,MOSLEADER Official,5.0000,,aliexpress,"Jun 30, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8016236181539074
XH2.54,,100PCS/Lot XH2.54 2P 2pin XH-2AW Right Angle Pin Header Wire Connector 2.54mm Pitch XH For PCB JST Car XH 2.54MM,Shop5124074,0.5100,,aliexpress,"Dec 8, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159038562069074
,,50PCS 2X3 PIN Double row Straight FEMALE PIN HEADER 2.54MM PITCH Strip Connector Socket 2*3 3p 3 PIN 3PIN FOR PCB BOARD,alinsin,1.4100,,aliexpress,"Feb 9, 2023",https://www.aliexpress.com/p/order/detail.html?orderId=8162547585409074
,500PCS,500pcs/lot 9V Battery Connector Snap Wire Cable Adapter Holder Experimental Power Connectors Terminals T Style 15cm,Hardware -Household Accessries,31.1900,,aliexpress,"Oct 15, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8193757528689074
2N2907,2N5484,30PCS 2N2907 2N5457 2N5460 2N5484 2N5485 2N5486 2N6517 2N7000D 2907 5457 5460 5484 5485 5486 6517 2N7000 TO-92,Senli Electronic Technology,4.6500,,aliexpress,"Sep 16, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8205197976119074
3362S,100K Ohm,3362S 1K 2K 5K 10K 20K 50K 100K 200K 500K 1M 100R 200R 500R Trimmer Potentiometer x 100PCS,KESUN KESUN Official,7.4900,,aliexpress,"Dec 27, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8144121499069074
3362P,100K Ohm,10PCS 3362P Series Resistance 101 201 501 102 202 502 103 Trimpo Trimmer Potentiometer 3362 500R 1K 2K 5K 10K 20K 50K 100K 2M,Quality supplier,0.6800,,aliexpress,"Dec 8, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159658150969074
,50 pieces,50/10pcs 2X4 PIN 4Pin Double Row Pin Female Header Socket Pitch 2.54mm 2*4P Straight Pin Strip Socket Connector,EC-Buying Ali,1.6600,,aliexpress,"Feb 10, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8198692235619074
,1,GTi10 cutting machine blade 8 inch 10 inch blade PCB circuit board cutting machine tungsten steel blade,Shop1103158275,146.8900,,aliexpress,"Nov 20, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8195077856259074
,,100PCS 2X6 Pin 12P 2.54mm Double Row Female Straight Header Pitch Socket Strip,Worldchips,1.8500,,aliexpress,"Dec 21, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8123469759959074
DC022B,10Pcs,2/5/10Pcs DC022B 5.5 x 2.1mm DC Power Jack Socket Connector 2 Pin Female Panel Mount Adapter 5.5*2.1 mm DC Connector,All Electr Connection,1.6700,,aliexpress,"Aug 28, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192868936659074
,Red,1000pcs F5 5mm Round White Red Green Blue Yellow Water Clear Led Super Bright Ligte Emitting Diodes 6000-6500k Lamp Bulb,Top Best Light,8.8100,,aliexpress,"Feb 3, 2026",https://www.aliexpress.com/p/order/detail.html?orderId=8208374266229074
2N5457,2N5484,20PCS New 2N5457 2N5460 2N5485 2N7000 2N5484 2N5486 2N6517 TO-92 TO92 transistor New In Stock Wholesale,JINYUXIN Global,4.5100,,aliexpress,"May 14, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8201469594059074
GL5506,5506,Mosleader 1000PCS GL5506 GL5516 GL5528 GL5537 GL5539 GL5549 5MM GL Series 5506 5516 5528 5537 5539 5549 DIP Photoresistor China,MOSLEADER Official,23.0000,,aliexpress,"Jun 29, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8134629787479074
APA102 2020,1000PCS,20~1000Pcs pack DotStar Micro LEDs APA102 2020 Smart SMD RGB APA102 2020 256 8A LED Matrix program Software Control LED Chip 5V,Wushi Optoelectronics,125.9900,,aliexpress,"Oct 7, 2019",https://www.aliexpress.com/p/order/detail.html?orderId=8003771210189074
3386P,"CHINA, 2K Ohm",100PCS 3386P Single-Turn Precision Adjustable Potentiometer 1K2K5K10K20K50K100K200K500K1M 101 103,Shenzhen Yishengxin Electronics,12.3300,,aliexpress,"Aug 28, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192868936739074
,"Black, M3(50PCS), 6mm",50pcs/Lot M2 m2.5 m3 m4 m5 m6 white/black Nylon Plastic insulation Phillips Cross Recessed round pan Head Machine Screw,YUBABA,1.2500,,aliexpress,"Dec 13, 2022",https://www.aliexpress.com/p/order/detail.html?orderId=8159339156299074
,1M,Mosleader 100PCS 3X3 200R 2K 20K 200K 100R 1K 10K 100K 470K 1M 200ohm 100ohm 3MM SMD Trimmer Potentiometer Chinese High quality,MOSLEADER Official,5.0000,,aliexpress,"Aug 18, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8018373139499074
,,5pcs Pitch 2.54mm 80 Pin 2x40 Double Row Male Breakable Pin Header Connector Strip for Arduino Black,YANXINLIANG Connector Switch,1.0800,,aliexpress,"May 14, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8014007068619074
,500pcs,500pcs 9V Battery Snap Hard Shell DC on Strap Holder Clips ConnectorsT Type Buckle 15cm Lead Wire Cable Butt Plug,Shop1102419144,58.6400,,aliexpress,"Oct 15, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8193757528629074
SPN1001-FV1,,"1pcs/lot SPN1001-FV1 FV-1 SOP28 new and original good quality , the chip is in stock",Fengyidz Huapengxing,11.0000,,aliexpress,"Jun 10, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8133377948149074
,100pcs Double,100PCS 2.54mm Single / double Row Needle Male Pin Header Connector 1*40p 2*40p 40p Pinheader 40 Pin 2.54 MM for Arduino UNO Nano,SMD Electronic Components,10.5100,,aliexpress,"Jul 28, 2025",https://www.aliexpress.com/p/order/detail.html?orderId=8203436384559074
,,100Pcs 2.54mm 2x40 Pin 80 Pin copper Pitch Male Double Row Pin Header Strip Straight Needle Connector,ecmall,13.5500,,aliexpress,"Oct 16, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8193856740829074
,,100Pcs 3A 12v For DC Power Supply Jack Socket Female Panel Mount Connector 5.5mm 2.1mm Plug Adapter 2 Terminal Types 5.5*2.1,Fixmee vip,10.8300,,aliexpress,"Aug 28, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192868936779074
PJ-612A,5Pin Black,5Pcs PJ-612A 3/5 Pin Jack 6.35mm 1/4Inch Female Socket Audio Microphone TRS Plugs Jacks Nut Mount Connector Blue / Black,JSAAHZ Elec.,2.7500,,aliexpress,"Jun 10, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8189961116669074
,,100pcs 9V Battery Snap Connector Clip Lead Wires Holder Hard Shell Red Wired 9 Volt Battery Clip Connector Battery Holder,Shop1102419144,13.4600,,aliexpress,"Feb 3, 2026",https://www.aliexpress.com/p/order/detail.html?orderId=8208374266269074
,50pcs 8pin,10-50PCS IC Sockets Adaptor Solder Type IC Connector Chip Base 2.54MM DIP8 DIP14 DIP16 DIP28 DIP40 28 14 16 8 40 Pin DIP Socket,diymore Official,0.4000,,aliexpress,"Aug 23, 2023",https://www.aliexpress.com/p/order/detail.html?orderId=8174326133459074
,,9V Battery Clip Low Profile Rivet Metal Stamping Spring Steel 9 Volt Battery Holder Clip SbM-71-1,SbM Hardware Electronics Corporation,28.2000,,aliexpress,"Aug 28, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8192868936799074
,,100PCS 5-Pin Female Mini B USB SMD 5 PIN Socket Connector,Shop1246743,1.4300,,aliexpress,"Feb 20, 2023",https://www.aliexpress.com/p/order/detail.html?orderId=8162675613429074
GL5506,,RHECCOW 500pcs/lot 5506 GL5506 5MM Photoresistor Light Dependent Resistor LDR Photoconductive resistance,Shop908964,14.7200,,aliexpress,"Sep 24, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8118569666219074
,3 way,100PCS Slide Type Switch 1 2 3 4 5 6 7 8 9 10 12 Bit 2.54mm Position Way DIP Red Pitch Toggle Switch Red Snap Switch hjxrhal,HJXRHGAL,8.5200,,aliexpress,"Apr 28, 2021",https://www.aliexpress.com/p/order/detail.html?orderId=8130761340439074
,,100pcs 80 Pin 2x40 Single Row Male 2.54 Breakable Pin Header Connector Strip,KY WIN ROBOT,11.3500,,aliexpress,"May 17, 2024",https://www.aliexpress.com/p/order/detail.html?orderId=8188559326279074
,,200pcs/lot Good quality 2.54mm 1X40 Single Row black needle PINS Male Pin Header Strip,Z&X Semiconductor,2.5800,,aliexpress,"Dec 21, 2020",https://www.aliexpress.com/p/order/detail.html?orderId=8123469759979074
